county,areacode,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
63000,6300300,義村里,A030001983,新光三越百貨台北忠孝分公司二館3F女,臺北市大安區義村里忠孝東路3段282號,縣市政府,25.04143200,121.54266600,特優級,商業營業場所,女廁所,新光三越百貨股份有限公司,0
10020,1002002,後驛里,I020000814,大全聯B1男廁,嘉義市西　區後驛里博愛路二段281號,全聯實業股份有限公司,23.47850000,120.43729900,特優級,商業營業場所,男廁所,全聯實業股份有限公司嘉義分公司,0
10014,1001402,忠仁里,V020000125,成功鎮故事館一樓女廁,臺東縣成功鎮忠仁里中山東路75號,臺東縣成功鎮公所,23.10031000,121.37949700,特優級,文化育樂活動場所,女廁所,臺東縣成功鎮公所,0
10014,1001402,忠仁里,V020000123,成功鎮老人會館女廁,臺東縣成功鎮忠仁里民富路45號,成功鎮公所,23.10077600,121.38370300,優等級,社福機構、集會場所,女廁所,成功鎮公所,0
10014,1001401,豐年里,V010000403,稅務局3樓女廁B,臺東縣臺東市豐年里中興路2段729號,臺東縣稅務局,22.76893200,121.11897900,特優級,民眾洽公場所,女廁所,臺東縣稅務局,1
10014,1001401,豐年里,V010000401,稅務局3樓男廁B,臺東縣臺東市豐年里中興路2段729號,臺東縣稅務局,22.76893200,121.11897900,特優級,民眾洽公場所,男廁所,臺東縣稅務局,0
10001,1000102,奕壽里,F020001981,三重區光榮國小地下停車場-無障礙廁,"新北市三重區奕壽里介壽路32號B1 樓",新北市政府交通局,25.07092700,121.50131800,特優級,交通,無障礙廁所,大日開發有限公司,0
10020,1002001,過溝里,I010000906,嘉義in89豪華影城7F女廁,嘉義市東　區過溝里民族路328號,豪華大戲院股份有限公司,23.47643800,120.45273400,特優級,休閒娛樂場所,女廁所,豪華大戲院股份有限公司,0
10020,1002001,過溝里,I010000904,嘉義in89豪華影城6F無障礙廁所,嘉義市東　區過溝里民族路328號,豪華大戲院股份有限公司,23.47643800,120.45273400,特優級,休閒娛樂場所,無障礙廁所,豪華大戲院股份有限公司,0
10020,1002001,過溝里,I010000896,嘉義in89豪華影城3F無障礙廁所,嘉義市東　區過溝里民族路328號,豪華大戲院股份有限公司,23.47643800,120.45273400,特優級,休閒娛樂場所,無障礙廁所,豪華大戲院股份有限公司,0
10020,1002001,過溝里,I010000902,嘉義in89豪華影城6F男廁,嘉義市東　區過溝里民族路328號,豪華大戲院股份有限公司,23.47643800,120.45273400,特優級,休閒娛樂場所,男廁所,豪華大戲院股份有限公司,0
